file,method,elapsed,objective,has_converged
../data/ieee118cdf.txt,ADMM-single-threaded,52.722,128380.00003193248,true
../data/ieee118cdf.txt,ADMM-multi-threaded,9.924,128380.00003193249,true
../data/ieee118cdf.txt,simple-lp,0.003,128380.0,true
../data/ieee14cdf.txt,ADMM-single-threaded,5.58,9065.075747908351,true
../data/ieee14cdf.txt,ADMM-multi-threaded,1.103,9065.075747908431,true
../data/ieee14cdf.txt,simple-lp,0.001,9065.0,true
../data/ieee300cdf.txt,ADMM-single-threaded,276.015,836183.1735426139,false
../data/ieee300cdf.txt,ADMM-multi-threaded,63.993,836183.1735426137,false
../data/ieee300cdf.txt,simple-lp,0.005,836166.1,true
../data/ieee30cdf.txt,ADMM-single-threaded,29.313,9918.794229927304,false
../data/ieee30cdf.txt,ADMM-multi-threaded,6.092,9918.794229927305,false
../data/ieee30cdf.txt,simple-lp,0.001,9919.000000000007,true
../data/ieee57cdf.txt,ADMM-single-threaded,54.224,43778.2264430425,false
../data/ieee57cdf.txt,ADMM-multi-threaded,10.502,43778.22644304251,false
../data/ieee57cdf.txt,simple-lp,0.001,43778.0,true
